filename,fqn,namespace,name,current_support_level,new_support_level,scenario_file,scenario_plugin_type,matched_line
lib/ansible/module_utils/network/aos/aos.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/apconos/apconos.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/aruba/aruba.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/asa/asa.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/avi/ansible_utils.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/avi/avi.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/avi/avi_api.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/bigswitch/bigswitch.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/checkpoint/checkpoint.py,check_point.mgmt,check_point,mgmt,community,community,scenarios/nwo/check_point.yml,module_utils,network/checkpoint/checkpoint.py
lib/ansible/module_utils/network/cloudengine/ce.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/cnos/cnos.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/cnos/cnos_devicerules.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/cnos/cnos_errorcodes.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/common/cfg/base.py,ansible.netcommon,ansible,netcommon,network,community,scenarios/nwo/ansible.yml,module_utils,network/common/*/*
lib/ansible/module_utils/network/common/config.py,ansible.netcommon,ansible,netcommon,network,community,scenarios/nwo/ansible.yml,module_utils,network/common/*
lib/ansible/module_utils/network/common/facts/facts.py,ansible.netcommon,ansible,netcommon,network,community,scenarios/nwo/ansible.yml,module_utils,network/common/*/*
lib/ansible/module_utils/network/common/netconf.py,ansible.netcommon,ansible,netcommon,network,community,scenarios/nwo/ansible.yml,module_utils,network/common/*
lib/ansible/module_utils/network/common/network.py,ansible.netcommon,ansible,netcommon,network,community,scenarios/nwo/ansible.yml,module_utils,network/common/*
lib/ansible/module_utils/network/common/parsing.py,ansible.netcommon,ansible,netcommon,network,community,scenarios/nwo/ansible.yml,module_utils,network/common/*
